service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,0,0,0,0,0,0,20260223,20260223
41,0,1,0,0,0,0,0,20260224,20260224
42,0,0,0,1,0,0,0,20260226,20260423
43,0,0,0,0,1,0,0,20260227,20260424
44,1,0,0,0,0,0,0,20260223,20260427
45,0,1,0,0,0,0,0,20260224,20260421
46,0,0,1,0,0,0,0,20260225,20260422
47,0,0,0,0,0,1,0,20260228,20260425
48,0,0,0,0,0,0,1,20260301,20260426
54,1,0,0,0,0,0,0,20260223,20260518
55,0,1,0,0,0,0,0,20260224,20260519
56,0,0,1,0,0,0,0,20260225,20260520
57,0,0,0,1,0,0,0,20260226,20260521
58,0,0,0,0,1,0,0,20260227,20260522
59,0,0,0,0,0,1,0,20260228,20260523
60,0,0,0,0,0,0,0,20260406,20260504
61,0,0,0,0,0,0,0,20260317,20260317
62,0,0,0,0,0,0,1,20260301,20260517
63,1,1,1,1,1,0,0,20260223,20261210
64,0,0,0,0,1,0,0,20260227,20261204
65,0,0,0,0,0,1,0,20260228,20261205
66,1,1,1,1,1,0,1,20260223,20261210
67,0,0,0,0,0,1,0,20260228,20260228
68,0,0,1,0,0,0,0,20260225,20260225
69,0,0,0,1,0,0,0,20260226,20260226
70,0,0,0,0,1,0,0,20260227,20260227
96,0,0,0,0,0,0,0,20260503,20260503
98,0,0,0,0,0,1,0,20260307,20261212
100,0,0,0,0,0,0,0,20260504,20260504
101,0,0,0,0,0,0,1,20260308,20261206
102,0,0,0,0,0,0,1,20260301,20260301
106,0,0,0,0,1,0,0,20260227,20261211
108,0,0,0,0,0,1,0,20260307,20260307
109,1,0,0,0,0,0,0,20260302,20260302
119,0,0,0,0,0,0,0,20260404,20260404
121,0,0,0,0,0,0,0,20260405,20260405
123,0,0,0,0,0,0,0,20260406,20260406
125,0,0,0,0,0,1,0,20260228,20261212
126,0,0,0,0,0,0,1,20260301,20261206
127,0,0,0,0,0,0,0,20260502,20260502
128,0,0,0,0,0,1,0,20260228,20261212
130,0,0,0,0,0,0,0,20260407,20260408
185,0,0,0,0,0,1,0,20260307,20260905
186,1,0,0,0,0,0,0,20260302,20260831
187,0,1,0,0,0,0,0,20260303,20260901
188,0,0,1,0,0,0,0,20260304,20260902
189,0,0,0,1,0,0,0,20260305,20260903
190,0,0,0,0,1,0,0,20260306,20260904
191,0,0,0,0,0,0,0,20260330,20260824
192,0,0,0,0,0,0,0,20260331,20260825
193,0,0,0,0,0,0,0,20260401,20260826
194,0,0,0,0,0,0,0,20260402,20260827
195,0,0,0,0,0,0,0,20260403,20260828
196,0,0,0,0,0,0,1,20260301,20260830
197,0,0,0,0,0,0,0,20260406,20260803
198,1,0,0,0,0,0,0,20260223,20260316
199,0,0,1,0,0,0,0,20260225,20260318
200,0,1,0,0,0,0,0,20260224,20260310
201,0,0,0,0,1,0,0,20260227,20260320
202,0,0,0,1,0,0,0,20260226,20260319
203,0,0,0,0,0,1,0,20260307,20260314
204,0,0,0,0,0,0,0,20260323,20260518
205,0,0,0,0,0,1,0,20260228,20260829
206,0,0,0,0,0,0,0,20260324,20260505
207,0,0,0,0,0,0,0,20260325,20260422
208,0,0,0,0,0,0,0,20260326,20260423
209,0,0,0,0,0,0,0,20260327,20260424
210,1,0,0,0,0,0,0,20260330,20260831
211,0,1,0,0,0,0,0,20260331,20260825
212,0,0,1,0,0,0,0,20260401,20260826
213,0,0,0,1,0,0,0,20260402,20260827
214,0,0,0,0,1,0,0,20260403,20260828
215,0,0,0,0,0,0,1,20260301,20260830
275,0,0,0,0,0,0,0,20260523,20260523
276,0,0,0,0,0,0,0,20260524,20260524
277,0,0,0,0,0,0,0,20260525,20260525
