route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
5186_117278,7778008,W1,Clock Tower - Ballybeg,,3,,,
5186_117279,7778008,W3,Clock Tower - Meagher's Quay,,3,,,
5186_117280,7778008,W2,Clock Tower - WIT - Meagher's Quay,,3,,,
5186_117281,7778008,W4,Peter Street - Brownes Road,,3,,,
5186_117282,7778008,W5,Hospital - Oakwood,,3,,,
5240_119660,7778006,120,Dublin - Edenderry,,3,,,
5240_119661,7778006,125,UCD - Newbridge,,3,,,
5240_119662,7778006,126,Dublin - Rathangan,,3,,,
5240_119663,7778006,130,Dublin - Athy,,3,,,
5240_119664,7778006,120A,Dublin - Edenderry,,3,,,
5240_119665,7778006,120B,Dublin - Newbridge,,3,,,
5240_119666,7778006,120C,Enfield - Tullamore,,3,,,
5240_119667,7778006,120D,Enfield - Tullamore,,3,,,
5240_119668,7778006,120E,Dublin - Edenderry,,3,,,
5240_119669,7778006,120F,Connolly Station - Newbridge Centre,,3,,,
5240_119670,7778006,120X,Dublin - Edenderry,,3,,,
5240_119671,7778006,126A,Dublin - Kildare,,3,,,
5240_119672,7778006,126B,Dublin - Rathangan,,3,,,
5240_119673,7778006,126D,Dublin - Kildare,,3,,,
5240_119674,7778006,126E,Dublin - Kildare,,3,,,
5240_119675,7778006,126T,Dublin - Kildare,,3,,,
5240_119676,7778006,126U,Dublin UCD - Kildare,,3,,,
5240_119677,7778006,126N,Dublin - Newbridge,,3,,,
5240_119678,7778006,126X,Dublin - Rathangan,,3,,,
5240_119679,7778006,130A,Dublin - Athy,,3,,,
5242_118188,7778014,Red,The Point - Tallaght,,0,,,
5242_119680,7778014,Green,Parnell - Brides Glen,,0,,,
5249_119681,7778021,59,Dun Laoghaire - Killiney Hill Park,,3,,,
5249_119682,7778021,73,Kilnamanagh Road - Griffith Avenue East,,3,,,
5249_119683,7778021,102,Dublin Airport - Sutton DART,,3,,,
5249_119684,7778021,104,Clontarf Station - DCU (The Helix),,3,,,
5249_119685,7778021,111,Brides Glen - Kilbogget Pk,,3,,,
5249_119686,7778021,114,Ticknock - Blackrock,,3,,,
5249_119687,7778021,161,Rockbrook - Dundrum,,3,,,
5249_119688,7778021,197,"Airside Ind. Estate, stop 7210 - Ashbourne Retail Pk, stop 101001",,3,,,
5249_119689,7778021,220,DCU (The Helix) - Lady's Well Road,,3,,,
5249_119690,7778021,236,Blanchardstown - IBM Campus,,3,,,
5249_119691,7778021,238,Tyrrelstown - Mulhuddart,,3,,,
5249_119692,7778021,270,Dunboyne - Blanchardstown,,3,,,
5249_119693,7778021,33A,Dublin Airport - Balbriggan,,3,,,
5249_119694,7778021,33B,Swords - Portrane,,3,,,
5249_119695,7778021,33T,Skerries - Donabate,,3,,,
5249_119696,7778021,45A,Kilmacanogue - Dun Laoghaire,,3,,,
5249_119697,7778021,45B,Kilmacanogue - Dun Laoghaire,,3,,,
5249_119698,7778021,L1,Newcastle Hospital - Bray Station,,3,,,
5249_119699,7778021,L2,"Sea Road, Newcastle - Bray Station",,3,,,
5249_119700,7778021,L3,Glenbrook Park - The Nurseries,,3,,,
5249_119701,7778021,N2,Clontarf Station - Heuston Train Stn,,3,,,
5249_119702,7778021,N6,Finglas Village - Naomh Barróg GAA,,3,,,
5249_119703,7778021,S4,Liffey Valley - UCD,,3,,,
5249_119704,7778021,S6,The Square - Blackrock Station,,3,,,
5249_119705,7778021,S8,Kingswood Avenue - Dun Laoghaire Stn,,3,,,
5249_119706,7778021,W2,The Square - Liffey Valley SC,,3,,,
5249_119707,7778021,W4,The Square - Blanchardstown SC,,3,,,
5249_119708,7778021,W6,Community College - The Square,,3,,,
5249_119709,7778021,L51,Liffey Valley SC - Adamstown Station,,3,,,
5249_119710,7778021,L52,Blanchardstown SC - Adamstown Station,,3,,,
5249_119711,7778021,L55,Hollyville Lawn - Glenaulin,,3,,,
5249_119712,7778021,102A,Swords - Sutton,,3,,,
5249_119713,7778021,102C,Balgriffin - Sutton,,3,,,
5249_119714,7778021,102P,Swords - Portmarnock,,3,,,
5249_119715,7778021,102T,Swords - Sutton,,3,,,
5249_119716,7778021,185T,Enniskerry - Bray,,3,,,
5249_119717,7778021,220A,DCU (The Helix) - Lady's Well Road,,3,,,
5249_119718,7778021,220T,Collins Avenue West - Finglas Garda Stn,,3,,,
5249_119719,7778021,236A,Blanchardstown - IBM Campus,,3,,,
5249_119720,7778021,236T,Scoil Oilibheir - Tyrrelstown,,3,,,
5249_119721,7778021,270T,Castaheany Estate - Castleknock Community College,,3,,,
5249_119722,7778021,L15,Bray Station - Enniskerry,,3,,,
5249_119723,7778021,L26,Blackrock Station - Kilternan Village,,3,,,
